Source,Target,Weight
贾琏,刘姥姥,141
贾琏,周瑞家的,69
贾琏,平儿,830
贾琏,贾宝玉,614
贾琏,香菱,245
贾琏,贾蓉,545
贾琏,邢夫人,147
贾琏,薛宝钗,153
贾琏,尤氏,112
贾琏,袭人,103
贾琏,和尚,186
贾琏,贾芸,88
贾琏,老婆子,141
贾琏,鸳鸯,338
贾琏,史湘云,41
贾琏,贾惜春,47
贾琏,宝蟾,155
贾母,林黛玉,2907
贾母,贾赦,650
贾母,和尚,98
贾母,王熙凤,6492
贾母,贾琏,1383
贾母,邢夫人,1386
贾母,王夫人,3190
贾母,贾宝玉,7717
贾母,贾迎春,591
贾母,贾探春,930
贾母,贾惜春,442
贾母,雪雁,242
贾母,袭人,1729
贾母,薛蟠,65
贾母,薛姨妈,1755
贾母,贾政,1905
贾母,贾珍,511
贾母,薛宝钗,2807
贾母,周瑞家的,199
贾母,刘姥姥,960
贾母,平儿,872
贾母,李纨,1056
贾母,尤氏,1158
贾母,贾蓉,385
贾母,莺儿,147
贾母,晴雯,480
贾母,麝月,336
贾母,老婆子,337
贾母,贾芸,80
贾母,贾环,120
贾母,史湘云,1283
贾母,鸳鸯,3050
贾母,香菱,199
贾母,赵姨娘,150
贾母,紫鹃,797
贾母,妙玉,177
贾母,薛蝌,97
贾母,宝琴,362
贾母,芳官,65
王熙凤,林黛玉,1062
王熙凤,贾母,6492
王熙凤,贾赦,152
王熙凤,贾琏,1591
王熙凤,王夫人,1807
王熙凤,贾迎春,262
王熙凤,贾探春,652
王熙凤,贾惜春,337
王熙凤,刘姥姥,824
王熙凤,周瑞家的,445
王熙凤,平儿,1966
王熙凤,贾蓉,296
王熙凤,李纨,455
王熙凤,贾宝玉,2841
王熙凤,薛宝钗,927
王熙凤,尤氏,721
王熙凤,贾珍,213
王熙凤,邢夫人,690
王熙凤,贾政,306
王熙凤,老婆子,172
王熙凤,和尚,42
王熙凤,薛姨妈,770
王熙凤,香菱,83
王熙凤,贾环,90
王熙凤,袭人,674
王熙凤,晴雯,220
王熙凤,赵姨娘,171
王熙凤,史湘云,438
王熙凤,紫鹃,137
王熙凤,贾芸,291
王熙凤,雪雁,52
王熙凤,麝月,70
王熙凤,鸳鸯,1480
王熙凤,宝琴,133
王熙凤,芳官,51
王夫人,林黛玉,719
王夫人,贾赦,96
王夫人,贾母,3190
王夫人,邢夫人,497
王夫人,贾宝玉,3587
王夫人,王熙凤,1807
王夫人,贾迎春,223
王夫人,贾探春,303
王夫人,贾惜春,201
王夫人,薛蟠,69
王夫人,薛姨妈,537
王夫人,贾政,744
王夫人,贾琏,534
王夫人,贾珍,99
王夫人,薛宝钗,1300
王夫人,刘姥姥,350
王夫人,周瑞家的,184
王夫人,和尚,417
王夫人,香菱,45
王夫人,李纨,287
王夫人,尤氏,334
王夫人,贾蓉,48
王夫人,袭人,1260
王夫人,晴雯,355
王夫人,麝月,161
王夫人,平儿,458
王夫人,妙玉,57
王夫人,贾环,152
王夫人,赵姨娘,164
王夫人,史湘云,153
王夫人,老婆子,87
王夫人,鸳鸯,419
王夫人,紫鹃,138
王夫人,宝琴,52
王夫人,芳官,72
邢夫人,林黛玉,166
邢夫人,贾赦,120
邢夫人,贾母,1386
邢夫人,王夫人,497
邢夫人,贾宝玉,312
邢夫人,贾迎春,206
邢夫人,贾探春,63
邢夫人,薛宝钗,145
邢夫人,王熙凤,690
邢夫人,贾珍,99
邢夫人,尤氏,179
邢夫人,贾蓉,45
邢夫人,贾政,207
邢夫人,李纨,66
邢夫人,薛姨妈,91
邢夫人,贾琏,147
邢夫人,贾环,64
邢夫人,鸳鸯,208
邢夫人,平儿,191
邢夫人,袭人,42
邢夫人,史湘云,58
邢夫人,宝琴,43
邢夫人,刘姥姥,47
雪雁,林黛玉,929
雪雁,贾母,242
雪雁,贾宝玉,362
雪雁,袭人,90
雪雁,紫鹃,1039
雪雁,王熙凤,52
雪雁,薛宝钗,63
雪雁,平儿,113
雪雁,李纨,203
袭人,林黛玉,1549
袭人,雪雁,90
袭人,贾母,1729
袭人,贾宝玉,7409
袭人,晴雯,969
袭人,麝月,757
袭人,贾政,199
袭人,王夫人,1260
袭人,尤氏,92
袭人,贾芸,71
袭人,王熙凤,674
袭人,史湘云,606
袭人,薛宝钗,1625
袭人,老婆子,88
袭人,鸳鸯,239
袭人,薛姨妈,261
袭人,贾环,47
袭人,香菱,210
袭人,莺儿,175
袭人,贾探春,341
袭人,贾惜春,74
袭人,平儿,524
袭人,贾琏,103
袭人,紫鹃,514
袭人,赵姨娘,113
袭人,和尚,194
袭人,薛蟠,96
袭人,李纨,135
袭人,刘姥姥,49
袭人,邢夫人,42
袭人,宝琴,45
袭人,芳官,419
薛蟠,贾母,65
薛蟠,王夫人,69
薛蟠,贾政,53
薛蟠,薛宝钗,410
薛蟠,薛姨妈,463
薛蟠,贾珍,94
薛蟠,贾宝玉,357
薛蟠,贾蓉,70
薛蟠,香菱,446
薛蟠,袭人,96
薛蟠,薛蝌,65
薛蟠,金桂,472
薛蟠,宝蟾,254
李纨,林黛玉,565
李纨,王夫人,287
李纨,贾母,1056
李纨,贾宝玉,657
李纨,贾迎春,67
李纨,贾探春,371
李纨,王熙凤,455
李纨,平儿,495
李纨,薛宝钗,355
李纨,邢夫人,66
李纨,尤氏,180
李纨,薛姨妈,94
李纨,史湘云,186
李纨,赵姨娘,65
李纨,贾惜春,159
李纨,鸳鸯,248
李纨,袭人,135
李纨,刘姥姥,104
李纨,紫鹃,392
李纨,宝琴,47
李纨,雪雁,203
薛宝钗,薛蟠,410
薛宝钗,贾政,223
薛宝钗,王夫人,1300
薛宝钗,薛姨妈,1215
薛宝钗,贾母,2807
薛宝钗,林黛玉,2664
薛宝钗,贾迎春,232
薛宝钗,贾宝玉,4721
薛宝钗,贾探春,575
薛宝钗,贾惜春,218
薛宝钗,邢夫人,145
薛宝钗,周瑞家的,69
薛宝钗,莺儿,328
薛宝钗,和尚,221
薛宝钗,刘姥姥,151
薛宝钗,香菱,526
薛宝钗,王熙凤,927
薛宝钗,李纨,355
薛宝钗,尤氏,158
薛宝钗,贾琏,153
薛宝钗,贾环,109
薛宝钗,袭人,1625
薛宝钗,麝月,208
薛宝钗,晴雯,215
薛宝钗,史湘云,994
薛宝钗,老婆子,55
薛宝钗,紫鹃,221
薛宝钗,雪雁,63
薛宝钗,平儿,325
薛宝钗,鸳鸯,440
薛宝钗,妙玉,136
薛宝钗,薛蝌,121
薛宝钗,宝琴,278
薛宝钗,金桂,166
薛宝钗,宝蟾,122
薛姨妈,王夫人,537
薛姨妈,薛蟠,463
薛姨妈,贾母,1755
薛姨妈,贾政,123
薛姨妈,贾琏,122
薛姨妈,薛宝钗,1215
薛姨妈,林黛玉,460
薛姨妈,贾迎春,69
薛姨妈,周瑞家的,57
薛姨妈,刘姥姥,152
薛姨妈,莺儿,42
薛姨妈,贾宝玉,867
薛姨妈,香菱,467
薛姨妈,紫鹃,50
薛姨妈,邢夫人,91
薛姨妈,尤氏,61
薛姨妈,李纨,94
薛姨妈,王熙凤,770
薛姨妈,袭人,261
薛姨妈,贾探春,86
薛姨妈,贾惜春,56
薛姨妈,史湘云,196
薛姨妈,平儿,48
薛姨妈,鸳鸯,437
薛姨妈,宝琴,92
薛姨妈,薛蝌,164
薛姨妈,金桂,304
薛姨妈,宝蟾,231
晴雯,贾宝玉,2654
晴雯,袭人,969
晴雯,麝月,615
晴雯,贾母,480
晴雯,林黛玉,304
晴雯,王夫人,355
晴雯,王熙凤,220
晴雯,老婆子,51
晴雯,薛宝钗,215
晴雯,香菱,54
晴雯,贾探春,53
晴雯,贾迎春,46
晴雯,史湘云,100
晴雯,平儿,75
晴雯,芳官,247
麝月,贾宝玉,1613
麝月,袭人,757
麝月,晴雯,615
麝月,林黛玉,113
麝月,贾母,336
麝月,王夫人,161
麝月,贾环,41
麝月,薛宝钗,208
麝月,莺儿,59
麝月,贾探春,54
麝月,史湘云,57
麝月,王熙凤,70
麝月,芳官,67
麝月,和尚,41
刘姥姥,贾宝玉,203
刘姥姥,王熙凤,824
刘姥姥,王夫人,350
刘姥姥,周瑞家的,214
刘姥姥,贾母,960
刘姥姥,贾琏,141
刘姥姥,平儿,463
刘姥姥,薛姨妈,152
刘姥姥,林黛玉,135
刘姥姥,薛宝钗,151
刘姥姥,鸳鸯,725
刘姥姥,李纨,104
刘姥姥,史湘云,79
刘姥姥,贾迎春,46
刘姥姥,袭人,49
刘姥姥,邢夫人,47
周瑞家的,刘姥姥,214
周瑞家的,贾母,199
周瑞家的,贾琏,69
