Name,Weight
贾宝玉,3933
贾母,2572
王熙凤,1780
林黛玉,1558
薛宝钗,1169
袭人,1132
王夫人,1011
贾政,757
贾琏,688
平儿,588
薛姨妈,462
贾探春,435
史湘云,428
鸳鸯,425
紫鹃,425
李纨,361
晴雯,336
刘姥姥,293
贾珍,290
邢夫人,284
尤氏,279
香菱,260
薛蟠,251
麝月,233
贾惜春,225
贾芸,190
贾赦,189
贾蓉,182
周瑞家的,168
芳官,153
妙玉,147
雪雁,144
贾迎春,143
赵姨娘,132
金桂,127
莺儿,124
贾环,120
和尚,118
宝蟾,117
宝琴,107
老婆子,105
薛蝌,102
