Source,Target,Weight
王熙凤,袭人,674
王熙凤,晴雯,220
王熙凤,赵姨娘,171
王熙凤,史湘云,437
王熙凤,紫鹃,137
王熙凤,贾芸,291
王熙凤,鸳鸯,1473
王熙凤,宝琴,130
王夫人,林黛玉,719
王夫人,贾母,3174
王夫人,邢夫人,497
王夫人,贾宝玉,3575
王夫人,王熙凤,1803
王夫人,贾迎春,223
王夫人,贾探春,303
王夫人,贾惜春,201
王夫人,薛姨妈,523
王夫人,贾政,744
王夫人,贾琏,534
王夫人,薛宝钗,1288
王夫人,刘姥姥,350
王夫人,周瑞家的,184
王夫人,和尚,417
王夫人,李纨,287
王夫人,尤氏,330
王夫人,袭人,1260
王夫人,晴雯,355
王夫人,麝月,161
王夫人,平儿,458
王夫人,贾环,152
王夫人,赵姨娘,164
王夫人,史湘云,153
王夫人,鸳鸯,419
王夫人,紫鹃,138
邢夫人,林黛玉,166
邢夫人,贾赦,120
邢夫人,贾母,1380
邢夫人,王夫人,497
邢夫人,贾宝玉,310
邢夫人,贾迎春,206
邢夫人,薛宝钗,143
邢夫人,王熙凤,682
邢夫人,尤氏,171
邢夫人,贾政,207
邢夫人,贾琏,147
邢夫人,鸳鸯,208
邢夫人,平儿,191
雪雁,林黛玉,925
雪雁,贾母,242
雪雁,贾宝玉,360
雪雁,紫鹃,1039
雪雁,平儿,113
雪雁,李纨,203
袭人,林黛玉,1546
袭人,贾母,1728
袭人,贾宝玉,7398
袭人,晴雯,969
袭人,麝月,757
袭人,贾政,199
袭人,王夫人,1260
袭人,王熙凤,674
袭人,史湘云,605
袭人,薛宝钗,1602
袭人,鸳鸯,239
袭人,薛姨妈,260
袭人,香菱,210
袭人,莺儿,175
袭人,贾探春,341
袭人,平儿,524
袭人,贾琏,103
袭人,紫鹃,514
袭人,赵姨娘,113
袭人,和尚,194
袭人,李纨,135
袭人,芳官,419
薛蟠,薛宝钗,403
薛蟠,薛姨妈,463
薛蟠,贾宝玉,357
薛蟠,香菱,439
薛蟠,金桂,472
薛蟠,宝蟾,254
李纨,林黛玉,565
李纨,王夫人,287
李纨,贾母,1055
李纨,贾宝玉,654
李纨,贾探春,371
李纨,王熙凤,455
李纨,平儿,495
李纨,薛宝钗,352
李纨,尤氏,180
李纨,史湘云,186
李纨,贾惜春,159
李纨,鸳鸯,248
李纨,袭人,135
李纨,刘姥姥,104
李纨,紫鹃,392
李纨,雪雁,203
薛宝钗,薛蟠,403
薛宝钗,贾政,212
薛宝钗,王夫人,1288
薛宝钗,薛姨妈,1195
